==== START logs for container kube-controller-manager of pod kube-system/kube-controller-manager-kind-1-control-plane ====
I1123 05:41:33.586455       1 clusterroleaggregation_controller.go:194] Starting ClusterRoleAggregator
I1123 05:41:33.586476       1 shared_informer.go:255] Waiting for caches to sync for ClusterRoleAggregator
I1123 05:41:33.595817       1 controllermanager.go:593] Started "ephemeral-volume"
I1123 05:41:33.595908       1 controller.go:170] Starting ephemeral volume controller
I1123 05:41:33.595929       1 shared_informer.go:255] Waiting for caches to sync for ephemeral
I1123 05:41:33.605803       1 controllermanager.go:593] Started "endpointslice"
I1123 05:41:33.605941       1 endpointslice_controller.go:257] Starting endpoint slice controller
I1123 05:41:33.605966       1 shared_informer.go:255] Waiting for caches to sync for endpoint_slice
I1123 05:41:33.690157       1 controllermanager.go:593] Started "cronjob"
I1123 05:41:33.690199       1 cronjob_controllerv2.go:135] "Starting cronjob controller v2"
I1123 05:41:33.690221       1 shared_informer.go:255] Waiting for caches to sync for cronjob
I1123 05:41:33.889430       1 controllermanager.go:593] Started "disruption"
I1123 05:41:33.889471       1 disruption.go:363] Starting disruption controller
I1123 05:41:33.889496       1 shared_informer.go:255] Waiting for caches to sync for disruption
I1123 05:41:33.939556       1 certificate_controller.go:119] Starting certificate controller "csrsigning-kubelet-serving"
I1123 05:41:33.939591       1 shared_informer.go:255] Waiting for caches to sync for certificate-csrsigning-kubelet-serving
I1123 05:41:33.939666       1 dynamic_serving_content.go:132] "Starting controller" name="csr-controller::/etc/kubernetes/pki/ca.crt::/etc/kubernetes/pki/ca.key"
I1123 05:41:33.940232       1 certificate_controller.go:119] Starting certificate controller "csrsigning-kubelet-client"
I1123 05:41:33.940252       1 shared_informer.go:255] Waiting for caches to sync for certificate-csrsigning-kubelet-client
I1123 05:41:33.940329       1 dynamic_serving_content.go:132] "Starting controller" name="csr-controller::/etc/kubernetes/pki/ca.crt::/etc/kubernetes/pki/ca.key"
I1123 05:41:33.940808       1 certificate_controller.go:119] Starting certificate controller "csrsigning-kube-apiserver-client"
I1123 05:41:33.940828       1 shared_informer.go:255] Waiting for caches to sync for certificate-csrsigning-kube-apiserver-client
I1123 05:41:33.940873       1 dynamic_serving_content.go:132] "Starting controller" name="csr-controller::/etc/kubernetes/pki/ca.crt::/etc/kubernetes/pki/ca.key"
I1123 05:41:33.941312       1 controllermanager.go:593] Started "csrsigning"
I1123 05:41:33.941371       1 certificate_controller.go:119] Starting certificate controller "csrsigning-legacy-unknown"
I1123 05:41:33.941397       1 shared_informer.go:255] Waiting for caches to sync for certificate-csrsigning-legacy-unknown
I1123 05:41:33.941414       1 dynamic_serving_content.go:132] "Starting controller" name="csr-controller::/etc/kubernetes/pki/ca.crt::/etc/kubernetes/pki/ca.key"
I1123 05:41:33.988675       1 node_lifecycle_controller.go:377] Sending events to api server.
I1123 05:41:33.989100       1 taint_manager.go:163] "Sending events to api server"
I1123 05:41:33.989318       1 node_lifecycle_controller.go:505] Controller will reconcile labels.
I1123 05:41:33.989399       1 controllermanager.go:593] Started "nodelifecycle"
I1123 05:41:33.989498       1 node_lifecycle_controller.go:539] Starting node controller
I1123 05:41:33.989527       1 shared_informer.go:255] Waiting for caches to sync for taint
I1123 05:41:34.140350       1 controllermanager.go:593] Started "endpoint"
I1123 05:41:34.140429       1 endpoints_controller.go:178] Starting endpoint controller
I1123 05:41:34.140442       1 shared_informer.go:255] Waiting for caches to sync for endpoint
I1123 05:41:34.388067       1 garbagecollector.go:149] Starting garbage collector controller
I1123 05:41:34.388109       1 shared_informer.go:255] Waiting for caches to sync for garbage collector
I1123 05:41:34.388168       1 graph_builder.go:289] GraphBuilder running
I1123 05:41:34.388203       1 controllermanager.go:593] Started "garbagecollector"
I1123 05:41:34.640027       1 controllermanager.go:593] Started "statefulset"
I1123 05:41:34.640073       1 stateful_set.go:147] Starting stateful set controller
I1123 05:41:34.640102       1 shared_informer.go:255] Waiting for caches to sync for stateful set
I1123 05:41:34.789834       1 controllermanager.go:593] Started "bootstrapsigner"
W1123 05:41:34.789874       1 core.go:225] configure-cloud-routes is set, but no cloud provider specified. Will not configure cloud provider routes.
W1123 05:41:34.789895       1 controllermanager.go:571] Skipping "route"
I1123 05:41:34.789956       1 shared_informer.go:255] Waiting for caches to sync for bootstrap_signer
I1123 05:41:34.939948       1 controllermanager.go:593] Started "pvc-protection"
I1123 05:41:34.940010       1 pvc_protection_controller.go:103] "Starting PVC protection controller"
I1123 05:41:34.940039       1 shared_informer.go:255] Waiting for caches to sync for PVC protection
I1123 05:41:35.089371       1 controllermanager.go:593] Started "daemonset"
I1123 05:41:35.089473       1 daemon_controller.go:284] Starting daemon sets controller
I1123 05:41:35.089485       1 shared_informer.go:255] Waiting for caches to sync for daemon sets
I1123 05:41:35.239981       1 controllermanager.go:593] Started "deployment"
I1123 05:41:35.240095       1 deployment_controller.go:153] "Starting controller" controller="deployment"
I1123 05:41:35.240121       1 shared_informer.go:255] Waiting for caches to sync for deployment
I1123 05:41:35.244896       1 shared_informer.go:255] Waiting for caches to sync for resource quota
W1123 05:41:35.252679       1 actual_state_of_world.go:541] Failed to update statusUpdateNeeded field in actual state of world: Failed to set statusUpdateNeeded to needed true, because nodeName="kind-1-control-plane" does not exist
I1123 05:41:35.261278       1 shared_informer.go:262] Caches are synced for certificate-csrapproving
I1123 05:41:35.268601       1 shared_informer.go:255] Waiting for caches to sync for garbage collector
I1123 05:41:35.283251       1 shared_informer.go:262] Caches are synced for GC
I1123 05:41:35.286777       1 shared_informer.go:262] Caches are synced for ClusterRoleAggregator
I1123 05:41:35.289608       1 shared_informer.go:262] Caches are synced for daemon sets
I1123 05:41:35.289658       1 shared_informer.go:262] Caches are synced for taint
I1123 05:41:35.289739       1 taint_manager.go:187] "Starting NoExecuteTaintManager"
I1123 05:41:35.289672       1 shared_informer.go:262] Caches are synced for disruption
I1123 05:41:35.289827       1 disruption.go:371] Sending events to api server.
I1123 05:41:35.289872       1 node_lifecycle_controller.go:1399] Initializing eviction metric for zone: 
W1123 05:41:35.290041       1 node_lifecycle_controller.go:1014] Missing timestamp for Node kind-1-control-plane. Assuming now as a timestamp.
I1123 05:41:35.290066       1 shared_informer.go:262] Caches are synced for bootstrap_signer
I1123 05:41:35.290114       1 node_lifecycle_controller.go:1165] Controller detected that all Nodes are not-Ready. Entering master disruption mode.
I1123 05:41:35.290237       1 event.go:294] "Event occurred" object="kind-1-control-plane" fieldPath="" kind="Node" apiVersion="v1" type="Normal" reason="RegisteredNode" message="Node kind-1-control-plane event: Registered Node kind-1-control-plane in Controller"
I1123 05:41:35.290388       1 shared_informer.go:262] Caches are synced for cronjob
I1123 05:41:35.296010       1 shared_informer.go:262] Caches are synced for ephemeral
I1123 05:41:35.299554       1 shared_informer.go:262] Caches are synced for TTL after finished
I1123 05:41:35.306997       1 shared_informer.go:262] Caches are synced for endpoint_slice
I1123 05:41:35.309463       1 shared_informer.go:262] Caches are synced for job
I1123 05:41:35.312910       1 shared_informer.go:262] Caches are synced for node
I1123 05:41:35.312968       1 range_allocator.go:173] Starting range CIDR allocator
I1123 05:41:35.312979       1 shared_informer.go:255] Waiting for caches to sync for cidrallocator
I1123 05:41:35.312998       1 shared_informer.go:262] Caches are synced for cidrallocator
I1123 05:41:35.318920       1 shared_informer.go:262] Caches are synced for crt configmap
I1123 05:41:35.320121       1 shared_informer.go:262] Caches are synced for TTL
I1123 05:41:35.320757       1 range_allocator.go:374] Set node kind-1-control-plane PodCIDR to [10.244.0.0/24]
I1123 05:41:35.329246       1 shared_informer.go:262] Caches are synced for endpoint_slice_mirroring
I1123 05:41:35.333916       1 shared_informer.go:262] Caches are synced for ReplicationController
I1123 05:41:35.335285       1 shared_informer.go:262] Caches are synced for ReplicaSet
I1123 05:41:35.339754       1 shared_informer.go:262] Caches are synced for certificate-csrsigning-kubelet-serving
I1123 05:41:35.341004       1 shared_informer.go:262] Caches are synced for stateful set
I1123 05:41:35.341137       1 shared_informer.go:262] Caches are synced for certificate-csrsigning-kube-apiserver-client
I1123 05:41:35.341175       1 shared_informer.go:262] Caches are synced for deployment
I1123 05:41:35.341250       1 shared_informer.go:262] Caches are synced for certificate-csrsigning-kubelet-client
I1123 05:41:35.341401       1 shared_informer.go:262] Caches are synced for endpoint
I1123 05:41:35.341439       1 shared_informer.go:262] Caches are synced for PVC protection
I1123 05:41:35.341534       1 shared_informer.go:262] Caches are synced for certificate-csrsigning-legacy-unknown
I1123 05:41:35.352052       1 shared_informer.go:262] Caches are synced for HPA
I1123 05:41:35.366480       1 shared_informer.go:262] Caches are synced for resource quota
I1123 05:41:35.399488       1 shared_informer.go:262] Caches are synced for namespace
I1123 05:41:35.409809       1 shared_informer.go:262] Caches are synced for service account
I1123 05:41:35.445095       1 shared_informer.go:262] Caches are synced for resource quota
I1123 05:41:35.522870       1 shared_informer.go:262] Caches are synced for attach detach
I1123 05:41:35.532286       1 shared_informer.go:262] Caches are synced for PV protection
I1123 05:41:35.534931       1 shared_informer.go:262] Caches are synced for expand
I1123 05:41:35.574705       1 shared_informer.go:262] Caches are synced for persistent volume
I1123 05:41:35.956667       1 event.go:294] "Event occurred" object="kube-system/kube-proxy" fieldPath="" kind="DaemonSet" apiVersion="apps/v1" type="Normal" reason="SuccessfulCreate" message="Created pod: kube-proxy-rrkww"
