==== START logs for container kube-controller-manager of pod kube-system/kube-controller-manager-kind-1-control-plane ====
I1221 04:31:17.033815       1 shared_informer.go:255] Waiting for caches to sync for certificate-csrsigning-kubelet-serving
I1221 04:31:17.033790       1 certificate_controller.go:112] Starting certificate controller "csrsigning-kube-apiserver-client"
I1221 04:31:17.033903       1 shared_informer.go:255] Waiting for caches to sync for certificate-csrsigning-kube-apiserver-client
I1221 04:31:17.033930       1 certificate_controller.go:112] Starting certificate controller "csrsigning-kubelet-client"
I1221 04:31:17.033943       1 shared_informer.go:255] Waiting for caches to sync for certificate-csrsigning-kubelet-client
I1221 04:31:17.033960       1 dynamic_serving_content.go:132] "Starting controller" name="csr-controller::/etc/kubernetes/pki/ca.crt::/etc/kubernetes/pki/ca.key"
I1221 04:31:17.033971       1 dynamic_serving_content.go:132] "Starting controller" name="csr-controller::/etc/kubernetes/pki/ca.crt::/etc/kubernetes/pki/ca.key"
I1221 04:31:17.034142       1 dynamic_serving_content.go:132] "Starting controller" name="csr-controller::/etc/kubernetes/pki/ca.crt::/etc/kubernetes/pki/ca.key"
I1221 04:31:17.034483       1 certificate_controller.go:112] Starting certificate controller "csrsigning-legacy-unknown"
I1221 04:31:17.034595       1 shared_informer.go:255] Waiting for caches to sync for certificate-csrsigning-legacy-unknown
I1221 04:31:17.034618       1 dynamic_serving_content.go:132] "Starting controller" name="csr-controller::/etc/kubernetes/pki/ca.crt::/etc/kubernetes/pki/ca.key"
E1221 04:31:17.041664       1 core.go:92] Failed to start service controller: WARNING: no cloud provider provided, services of type LoadBalancer will fail
W1221 04:31:17.041718       1 controllermanager.go:581] Skipping "service"
I1221 04:31:17.048376       1 controllermanager.go:603] Started "attachdetach"
I1221 04:31:17.048691       1 attach_detach_controller.go:328] Starting attach detach controller
I1221 04:31:17.048782       1 shared_informer.go:255] Waiting for caches to sync for attach detach
I1221 04:31:17.056075       1 controllermanager.go:603] Started "endpoint"
I1221 04:31:17.056343       1 endpoints_controller.go:182] Starting endpoint controller
I1221 04:31:17.056381       1 shared_informer.go:255] Waiting for caches to sync for endpoint
I1221 04:31:17.062072       1 controllermanager.go:603] Started "replicationcontroller"
I1221 04:31:17.062452       1 replica_set.go:205] Starting replicationcontroller controller
I1221 04:31:17.062548       1 shared_informer.go:255] Waiting for caches to sync for ReplicationController
I1221 04:31:17.198580       1 controllermanager.go:603] Started "namespace"
I1221 04:31:17.198620       1 namespace_controller.go:200] Starting namespace controller
I1221 04:31:17.198631       1 shared_informer.go:255] Waiting for caches to sync for namespace
I1221 04:31:17.339293       1 controllermanager.go:603] Started "tokencleaner"
W1221 04:31:17.339340       1 core.go:232] configure-cloud-routes is set, but no cloud provider specified. Will not configure cloud provider routes.
W1221 04:31:17.339347       1 controllermanager.go:581] Skipping "route"
I1221 04:31:17.339464       1 tokencleaner.go:118] Starting token cleaner controller
I1221 04:31:17.339475       1 shared_informer.go:255] Waiting for caches to sync for token_cleaner
I1221 04:31:17.339485       1 shared_informer.go:262] Caches are synced for token_cleaner
I1221 04:31:17.491333       1 controllermanager.go:603] Started "root-ca-cert-publisher"
I1221 04:31:17.491356       1 publisher.go:107] Starting root CA certificate configmap publisher
I1221 04:31:17.491743       1 shared_informer.go:255] Waiting for caches to sync for crt configmap
I1221 04:31:17.639811       1 controllermanager.go:603] Started "endpointslice"
I1221 04:31:17.640046       1 endpointslice_controller.go:261] Starting endpoint slice controller
I1221 04:31:17.640145       1 shared_informer.go:255] Waiting for caches to sync for endpoint_slice
I1221 04:31:17.790647       1 controllermanager.go:603] Started "replicaset"
I1221 04:31:17.791097       1 replica_set.go:205] Starting replicaset controller
I1221 04:31:17.791251       1 shared_informer.go:255] Waiting for caches to sync for ReplicaSet
I1221 04:31:18.090179       1 controllermanager.go:603] Started "horizontalpodautoscaling"
I1221 04:31:18.090300       1 horizontal.go:168] Starting HPA controller
I1221 04:31:18.090308       1 shared_informer.go:255] Waiting for caches to sync for HPA
I1221 04:31:18.259841       1 controllermanager.go:603] Started "endpointslicemirroring"
I1221 04:31:18.260017       1 endpointslicemirroring_controller.go:216] Starting EndpointSliceMirroring controller
I1221 04:31:18.260029       1 shared_informer.go:255] Waiting for caches to sync for endpoint_slice_mirroring
I1221 04:31:18.391171       1 controllermanager.go:603] Started "serviceaccount"
I1221 04:31:18.391240       1 serviceaccounts_controller.go:117] Starting service account controller
I1221 04:31:18.391630       1 shared_informer.go:255] Waiting for caches to sync for service account
I1221 04:31:18.541115       1 controllermanager.go:603] Started "ttl"
I1221 04:31:18.541213       1 ttl_controller.go:120] Starting TTL controller
I1221 04:31:18.541225       1 shared_informer.go:255] Waiting for caches to sync for TTL
I1221 04:31:18.692823       1 controllermanager.go:603] Started "bootstrapsigner"
I1221 04:31:18.692853       1 shared_informer.go:255] Waiting for caches to sync for bootstrap_signer
I1221 04:31:18.940038       1 garbagecollector.go:154] Starting garbage collector controller
I1221 04:31:18.940111       1 shared_informer.go:255] Waiting for caches to sync for garbage collector
I1221 04:31:18.940051       1 controllermanager.go:603] Started "garbagecollector"
I1221 04:31:18.940176       1 graph_builder.go:291] GraphBuilder running
I1221 04:31:19.238999       1 controllermanager.go:603] Started "disruption"
I1221 04:31:19.239084       1 disruption.go:421] Sending events to api server.
I1221 04:31:19.239142       1 disruption.go:432] Starting disruption controller
