==== START logs for container coredns of pod kube-system/coredns-6d4b75cb6d-2fdcj ====
[INFO] plugin/ready: Still waiting on: "kubernetes"
.:53
[INFO] plugin/reload: Running configuration MD5 = db32ca3650231d74073ff4cf814959a7
CoreDNS-1.8.6
linux/amd64, go1.17.1, 13a9191
[INFO] Reloading
[INFO] plugin/health: Going into lameduck mode for 5s
[INFO] plugin/reload: Running configuration MD5 = bc01953dbef007fb87b1d2d15ca53ab8
[INFO] Reloading complete
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:57930->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:57980->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:57982->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:58116->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:58118->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:58258->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:58402->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:58732->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:59210->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:59392->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:59660->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:59662->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:60380->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:60378->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:60410->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:60638->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:60640->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:33450->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:34212->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:34216->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:37860->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:37864->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:37978->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:38228->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:38564->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:38748->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:38994->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:38992->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:39400->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:40098->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:40252->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:40254->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:42118->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:43006->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:43796->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:43798->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:44250->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:44960->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:44962->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:46484->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:47624->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:47626->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:48382->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:49052->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:49050->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:50102->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:50616->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:50614->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:50896->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:53214->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:53332->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:54390->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:54838->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:56292->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:39630->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:39744->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:39748->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:39906->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:39904->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:40002->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:40010->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:40012->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:40316->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:40314->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:40394->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:40498->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:40500->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:40634->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:40828->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:41028->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:41242->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:41478->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:41730->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:42212->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:43000->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:43608->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:44566->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:44648->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:44650->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:44714->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:45010->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:45108->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:45456->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:45458->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:45540->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:45542->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:45742->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:46076->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:47382->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:47384->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:47490->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:47646->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:47644->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:47896->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:47894->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:48158->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:54278->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:54632->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:54752->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:54930->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:55192->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:55426->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:55764->172.18.0.1:53: i/o timeout
